1,삼성전자,"66,300",700,-1.04%,100,"3,957,966","5,969,783",51.13,"10,804,542",11.48,13.92,
2,LG에너지솔루션,"433,000","3,500",-0.80%,500,"1,013,220","234,000",3.03,"252,709",109.26,10.68,
3,SK하이닉스,"108,000","2,500",-2.26%,"5,000","786,243","728,002",49.87,"2,261,924",8.19,16.84,
4,삼성바이오로직스,"793,000","8,000",-1.00%,"2,500","524,688","66,165",10.44,"27,281",134.91,8.21,
5,삼성전자우,"59,500",900,-1.49%,100,"489,618","822,887",72.97,"1,779,188",10.30,N/A,
6,NAVER,"288,500","11,500",-3.83%,100,"473,282","164,049",54.39,"816,899",2.87,106.72,
7,카카오,"89,700","2,300",-2.50%,100,"400,305","446,270",28.75,"1,495,644",28.64,17.10,
8,삼성SDI,"578,000","18,000",-3.02%,"5,000","397,459","68,765",43.01,"236,689",34.78,8.45,
9,현대차,"182,000","2,000",+1.11%,"5,000","388,876","213,668",26.61,"1,498,854",10.20,6.84,
10,LG화학,"486,000",0,0.00%,"5,000","343,079","70,592",48.51,"228,863",10.37,18.47,
11,기아,"79,600",200,-0.25%,"5,000","322,669","405,363",34.26,"1,880,355",6.78,14.69,
12,POSCO홀딩스,"286,000","9,500",-3.21%,"5,000","249,354","87,187",53.07,"250,172",3.77,13.97,
13,KB금융,"60,000","1,900",-3.07%,"5,000","247,411","412,352",72.92,"1,127,768",5.66,9.80,
14,셀트리온,"155,500","3,500",-2.20%,"1,000","218,770","140,688",19.45,"281,081",38.01,15.81,
15,신한지주,"42,050",100,-0.24%,"5,000","217,230","516,600",62.02,"2,679,662",5.59,8.80,
16,카카오뱅크,"42,450","1,150",-2.64%,"5,000","202,145","476,196",15.80,"1,191,527",90.90,4.91,
17,삼성물산,"108,000","2,000",-1.82%,100,"201,838","186,887",15.72,"206,355",12.45,5.40,
18,SK이노베이션,"212,500","5,500",-2.52%,"5,000","196,489","92,466",23.72,"267,966",65.38,1.91,
19,LG전자,"119,000","4,000",-3.25%,"5,000","194,741","163,648",27.84,"971,786",20.86,6.32,
20,현대모비스,"203,500","9,500",-4.46%,"5,000","192,456","94,573",34.20,"433,719",8.20,6.87,
21,SK,"259,000","6,000",-2.26%,200,"192,047","74,149",21.49,"138,664",9.36,10.19,
22,카카오페이,"113,000","5,000",-4.24%,500,"149,656","132,439",42.52,"155,682",-570.71,-2.45,
23,하나금융지주,"47,450","1,300",-2.67%,"5,000","142,465","300,242",71.44,"1,260,082",4.04,10.86,
24,LG생활건강,"883,000","47,000",-5.05%,"5,000","137,909","15,618",40.39,"72,793",18.53,16.65,
25,한국전력,"21,200",250,-1.17%,"5,000","136,096","641,964",14.64,"948,098",-2.56,-7.99,
26,HMM,"26,750",650,-2.37%,"5,000","130,818","489,039",10.13,"2,651,425",1.94,88.62,
27,SK텔레콤,"59,600","2,000",-3.25%,100,"130,425","218,833",47.52,"455,129",8.71,13.63,
28,삼성생명,"64,900","1,300",-1.96%,500,"129,800","200,000",12.80,"160,422",8.83,4.01,
29,두산에너빌리티,"20,400",750,-3.55%,"5,000","128,943","632,071",9.43,"4,719,682",19.88,10.67,
30,현대중공업,"139,500",500,-0.36%,"5,000","123,838","88,773",4.53,"237,202",-13.08,-14.87,
31,삼성전기,"163,000","4,500",-2.69%,"5,000","121,751","74,694",28.19,"679,505",14.17,14.29,
32,크래프톤,"242,500","7,500",-3.00%,100,"119,000","49,072",28.63,"161,826",21.19,17.86,
33,고려아연,"621,000",0,0.00%,"5,000","117,183","18,870",20.13,"52,806",14.52,11.07,
34,S-Oil,"104,000","1,500",-1.42%,"2,500","117,086","112,583",80.03,"220,819",8.80,21.76,
